service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
202692050,1,1,1,1,1,0,0,20200318,20200403
202689500,0,0,0,0,0,1,0,20200321,20200328
202690600,0,0,0,0,0,0,1,20200322,20200329
207588099,1,1,1,1,1,0,0,20200318,20200403
206267500,0,0,0,0,0,1,0,20200321,20200328
206788600,0,0,0,0,0,0,1,20200322,20200329
207587099,1,1,1,1,1,0,0,20200318,20200403
206268500,0,0,0,0,0,1,0,20200321,20200328
206787600,0,0,0,0,0,0,1,20200322,20200329
207586099,1,1,1,1,1,0,0,20200318,20200403
206269500,0,0,0,0,0,1,0,20200321,20200328
206786600,0,0,0,0,0,0,1,20200322,20200329
207395099,1,1,1,1,1,0,0,20200318,20200403
205302500,0,0,0,0,0,1,0,20200321,20200328
205248600,0,0,0,0,0,0,1,20200322,20200329
207404099,1,1,1,1,1,0,0,20200318,20200403
205261500,0,0,0,0,0,1,0,20200321,20200328
205241600,0,0,0,0,0,0,1,20200322,20200329
207405099,1,1,1,1,1,0,0,20200318,20200403
205264500,0,0,0,0,0,1,0,20200321,20200328
205243600,0,0,0,0,0,0,1,20200322,20200329
207585099,1,1,1,1,1,0,0,20200318,20200403
206270500,0,0,0,0,0,1,0,20200321,20200328
206785600,0,0,0,0,0,0,1,20200322,20200329
207399099,1,1,1,1,1,0,0,20200318,20200403
204993500,0,0,0,0,0,1,0,20200321,20200328
204992600,0,0,0,0,0,0,1,20200322,20200329
207406099,1,1,1,1,1,0,0,20200318,20200403
205735500,0,0,0,0,0,1,0,20200321,20200328
205734600,0,0,0,0,0,0,1,20200322,20200329
207407099,1,1,1,1,1,0,0,20200318,20200403
205425500,0,0,0,0,0,1,0,20200321,20200328
205330600,0,0,0,0,0,0,1,20200322,20200329
207423099,1,1,1,1,1,0,0,20200318,20200403
205303500,0,0,0,0,0,1,0,20200321,20200328
205249600,0,0,0,0,0,0,1,20200322,20200329
207424099,1,1,1,1,1,0,0,20200318,20200403
205304500,0,0,0,0,0,1,0,20200321,20200328
205250600,0,0,0,0,0,0,1,20200322,20200329
207398099,1,1,1,1,1,0,0,20200318,20200403
205305500,0,0,0,0,0,1,0,20200321,20200328
205251600,0,0,0,0,0,0,1,20200322,20200329
207686099,1,1,1,1,1,0,0,20200318,20200403
206082501,0,0,0,0,0,1,0,20200321,20200328
205738600,0,0,0,0,0,0,1,20200322,20200329
207341099,1,1,1,1,1,0,0,20200318,20200403
205554500,0,0,0,0,0,1,0,20200321,20200328
205552600,0,0,0,0,0,0,1,20200322,20200329
210112091,1,1,1,1,1,0,0,20200318,20200403
208212503,0,0,0,0,0,1,0,20200321,20200328
208211603,0,0,0,0,0,0,1,20200322,20200322
211080605,0,0,0,0,0,0,1,20200329,20200329
209993091,1,1,1,1,1,0,0,20200318,20200403
207942503,0,0,0,0,0,1,0,20200321,20200321
207827602,0,0,0,0,0,0,1,20200322,20200322
211036504,0,0,0,0,0,1,0,20200328,20200328
211038603,0,0,0,0,0,0,1,20200329,20200329
209994090,1,1,1,1,1,0,0,20200318,20200403
207154502,0,0,0,0,0,1,0,20200321,20200321
207152602,0,0,0,0,0,0,1,20200322,20200322
210400504,0,0,0,0,0,1,0,20200328,20200328
210661604,0,0,0,0,0,0,1,20200329,20200329
209388090,1,1,1,1,1,0,0,20200318,20200403
208219504,0,0,0,0,0,1,0,20200321,20200328
208209603,0,0,0,0,0,0,1,20200322,20200329
209996090,1,1,1,1,1,0,0,20200318,20200403
208550502,0,0,0,0,0,1,0,20200321,20200328
208547602,0,0,0,0,0,0,1,20200322,20200329
